"1"12/15/2019 12:00:00 AM"4190"1"1"1"1"2"12/15/2019 08:30:00 AM"On Time"12/15/2019 09:20:00 AM"Early Out"POE"1"1"12/15/2019 08:30:00 AM"12/15/2019 09:30:00 AM"True"1"-
"2"12/15/2019 12:00:00 AM"4190"1"1"1"1"3"12/15/2019 09:30:00 AM"On Time"12/15/2019 10:20:00 AM"On Time"PO"1"1"12/15/2019 09:30:00 AM"12/15/2019 10:30:00 AM"True"1"-
"3"12/15/2019 12:00:00 AM"4190"1"1"1"1"4"12/15/2019 11:20:00 AM"Late"12/15/2019 12:00:00 PM"On Time"PLO"1"1"12/15/2019 11:00:00 AM"12/15/2019 12:00:00 PM"True"1"-
"4"12/15/2019 12:00:00 AM"4185"1"1"1"1"2"12/15/2019 08:50:00 AM"Late"12/15/2019 09:20:00 AM"Early Out"PLE"1"1"12/15/2019 08:30:00 AM"12/15/2019 09:30:00 AM"True"1"-
"5"12/15/2019 12:00:00 AM"4185"1"1"1"1"3"12/15/2019 09:30:00 AM"On Time"12/15/2019 10:20:00 AM"On Time"PO"1"1"12/15/2019 09:30:00 AM"12/15/2019 10:30:00 AM"True"1"-
"6"12/15/2019 12:00:00 AM"4185"1"1"1"1"4"12/15/2019 11:20:00 AM"On Time"12/15/2019 12:00:00 PM"Early Out"PLE"1"1"12/15/2019 11:00:00 AM"12/15/2019 12:00:00 PM"True"1"-
"7"12/15/2019 12:00:00 AM"4180"1"1"1"1"2"12/15/2019 08:30:00 AM"On Time"12/15/2019 09:30:00 AM"On Time"PO"1"1"12/15/2019 08:30:00 AM"12/15/2019 09:30:00 AM"True"1"-
"8"12/15/2019 12:00:00 AM"4180"1"1"1"1"3"12/15/2019 09:30:00 AM"On Time"12/15/2019 10:20:00 AM"On Time"PO"1"1"12/15/2019 09:30:00 AM"12/15/2019 10:30:00 AM"True"1"-
"9"12/15/2019 12:00:00 AM"4180"1"1"1"1"4"12/15/2019 11:20:00 AM"Late"12/15/2019 12:00:00 PM"On Time"PLO"1"1"12/15/2019 11:00:00 AM"12/15/2019 12:00:00 PM"True"1"-
"10"12/16/2019 12:00:00 AM"4190"1"1"1"1"2"12/16/2019 08:30:00 AM"On Time"12/16/2019 09:20:00 AM"Early Out"POE"1"1"12/16/2019 08:30:00 AM"12/16/2019 09:30:00 AM"True"1"-
"11"12/16/2019 12:00:00 AM"4190"1"1"1"1"3"12/16/2019 09:30:00 AM"On Time"12/16/2019 10:20:00 AM"On Time"PO"1"1"12/16/2019 09:30:00 AM"12/16/2019 10:30:00 AM"True"1"-
"12"12/16/2019 12:00:00 AM"4190"1"1"1"1"4"12/16/2019 11:20:00 AM"Late"12/16/2019 12:00:00 PM"On Time"PLO"1"1"12/16/2019 11:00:00 AM"12/16/2019 12:00:00 PM"True"1"-
"13"12/16/2019 12:00:00 AM"4185"1"1"1"1"2"12/16/2019 08:50:00 AM"Late"12/16/2019 09:20:00 AM"Early Out"PLE"1"1"12/16/2019 08:30:00 AM"12/16/2019 09:30:00 AM"True"1"-
"14"12/16/2019 12:00:00 AM"4185"1"1"1"1"3"12/16/2019 09:30:00 AM"On Time"12/16/2019 10:20:00 AM"On Time"PO"1"1"12/16/2019 09:30:00 AM"12/16/2019 10:30:00 AM"True"1"-
"15"12/16/2019 12:00:00 AM"4185"1"1"1"1"4"12/16/2019 11:20:00 AM"On Time"12/16/2019 12:00:00 PM"Early Out"PLE"1"1"12/16/2019 11:00:00 AM"12/16/2019 12:00:00 PM"True"1"-
"16"12/16/2019 12:00:00 AM"4180"1"1"1"1"2"12/16/2019 08:30:00 AM"On Time"12/16/2019 09:30:00 AM"On Time"PO"1"1"12/16/2019 08:30:00 AM"12/16/2019 09:30:00 AM"True"12"-
"17"12/16/2019 12:00:00 AM"4180"1"1"1"1"3"12/16/2019 09:30:00 AM"On Time"12/16/2019 10:20:00 AM"Early Out"POE"1"1"12/16/2019 09:30:00 AM"12/16/2019 10:30:00 AM"True"6"-
"18"12/16/2019 12:00:00 AM"4180"1"1"1"1"4"12/16/2019 11:20:00 AM"Late"12/16/2019 12:00:00 PM"Early Out"PLE"1"1"12/16/2019 11:00:00 AM"12/16/2019 12:00:00 PM"True"1"-
"19"12/17/2019 12:00:00 AM"4190"1"1"1"1"2"12/17/2019 08:30:00 AM"On Time"12/17/2019 09:20:00 AM"Early Out"POE"1"1"12/17/2019 08:30:00 AM"12/17/2019 09:30:00 AM"True"1"-
"20"12/17/2019 12:00:00 AM"4190"1"1"1"1"3"12/17/2019 09:30:00 AM"On Time"12/17/2019 10:20:00 AM"On Time"PO"1"1"12/17/2019 09:30:00 AM"12/17/2019 10:30:00 AM"True"1"-
"21"12/17/2019 12:00:00 AM"4190"1"1"1"1"4"12/17/2019 11:20:00 AM"Late"12/17/2019 12:00:00 PM"On Time"PLO"1"1"12/17/2019 11:00:00 AM"12/17/2019 12:00:00 PM"True"1"-
"22"12/17/2019 12:00:00 AM"4185"1"1"1"1"2"12/17/2019 08:50:00 AM"Late"12/17/2019 09:20:00 AM"Early Out"PLE"1"1"12/17/2019 08:30:00 AM"12/17/2019 09:30:00 AM"True"1"-
"23"12/17/2019 12:00:00 AM"4185"1"1"1"1"3"12/17/2019 09:30:00 AM"On Time"12/17/2019 10:20:00 AM"On Time"PO"1"1"12/17/2019 09:30:00 AM"12/17/2019 10:30:00 AM"True"1"-
"24"12/17/2019 12:00:00 AM"4185"1"1"1"1"4"12/17/2019 11:20:00 AM"On Time"12/17/2019 12:00:00 PM"Early Out"PLE"1"1"12/17/2019 11:00:00 AM"12/17/2019 12:00:00 PM"True"6"-
"25"12/17/2019 12:00:00 AM"4180"1"1"1"1"2"12/17/2019 08:30:00 AM"On Time"12/17/2019 09:30:00 AM"On Time"PO"1"1"12/17/2019 08:30:00 AM"12/17/2019 09:30:00 AM"True"1"-
"26"12/17/2019 12:00:00 AM"4180"1"1"1"1"3"12/17/2019 09:30:00 AM"On Time"12/17/2019 10:20:00 AM"On Time"PO"1"1"12/17/2019 09:30:00 AM"12/17/2019 10:30:00 AM"True"1"-
"27"12/17/2019 12:00:00 AM"4180"1"1"1"1"4"12/17/2019 11:20:00 AM"Late"12/17/2019 12:00:00 PM"On Time"PLO"1"1"12/17/2019 11:00:00 AM"12/17/2019 12:00:00 PM"True"1"-
