date,st_time,en_time,campus,room,program,shift,group,course,study_title,lecturer_code,
04/11/2019,08:30 AM,09:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB101,Study Title 04-11,<000081>,
04/11/2019,09:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB102,Study Title 04-11,<000082>,
04/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
04/11/2019,11:00 AM,12:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB203,Study Title 04-11,<000091>,
04/11/2019,12:00 PM,02:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB104,Study Title 04-11,<000085>,
04/11/2019,12:00 PM,02:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,B,MB205,Study Title 04-11,<000086>,
05/11/2019,08:30 AM,09:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB104,Study Title 05-11,<000098>,
05/11/2019,09:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB202,Study Title 05-11,<000088>,
05/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
05/11/2019,11:00 AM,12:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB204,Study Title 05-11,<000082>,
05/11/2019,12:00 PM,02:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB103,Study Title 05-11,<000094>,
05/11/2019,12:00 PM,02:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,B,MB205,Study Title 05-11,<000098>,
06/11/2019,08:30 AM,09:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB104,Study Title 06-11,<000082>,
06/11/2019,09:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB205,English,<000099>,
06/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
06/11/2019,11:00 AM,12:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB202,English,<000089>,
06/11/2019,12:00 PM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB101,Study Title 06-11,<000083>,
06/11/2019,01:00 PM,02:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0,
07/11/2019,08:30 AM,09:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB104,Study Title 07-11,<000089>,
07/11/2019,09:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB201,Study Tile 07-11,<000099>,
07/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
07/11/2019,11:00 AM,12:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB101,Study PD,<000093>,
07/11/2019,12:00 PM,02:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB102,Study Title 07-11,<000086>,
07/11/2019,12:00 PM,02:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,B,MB103,Study Title 07-11,<000096>,
08/11/2019,08:30 AM,09:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB205,Study Title 08-11,<000089>,
08/11/2019,09:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB202,Study Title,<000099>,
08/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
08/11/2019,11:00 AM,12:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB103,Study Title,<000081>,
08/11/2019,12:00 PM,01:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB104,Study Title 08-11,<000086>,
08/11/2019,01:00 PM,02:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,OFF,0,0,
09/11/2019,08:30 AM,09:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB105,Study Title 09-11,<000096>,
09/11/2019,09:30 AM,10:30 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB104,Study Tile 09-11,<000088>,
09/11/2019,10:30 AM,11:00 AM,DMC,DMC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
09/11/2019,11:00 AM,12:00 PM,DMC,DMC-B01-R0101,MBBS,Morning,0,MB205,Study PD,<000094>,
09/11/2019,12:00 PM,02:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,A,MB204,Study Title 09-11,<000093>,
09/11/2019,12:00 PM,02:30 PM,DMC,DMC-B01-R0101,MBBS,Morning,B,MB203,Study Title 09-11,<000083>,
