program_code,course_code,course_title,book_name,book_author,default_program_type_id,default_program_type_number,credit_hours,passing_marks,total_marks,is_active_course
PDS,PD101,Physical Pharmacy-PD-901,0,0,Semester,1,3,33,100,yes
PDS,PD102,Physical Pharmacy-PD-902,0,0,Semester,1,3,33,100,yes
PDS,PD103,Physical Pharmacy-PD-903,0,0,Semester,1,3,33,100,yes
PDS,PD104,Physical Pharmacy-PD-904,0,0,Semester,1,1,33,100,yes
PDS,PD105,Physical Pharmacy-PD-905,0,0,Semester,1,3,33,100,yes
PDS,PD106,Physical Pharmacy-PD-906,0,0,Semester,1,3,33,100,no
PDS,PD107,Physical Pharmacy-PD-901,0,0,Semester,1,3,33,100,no
PDS,PD108,Physical Pharmacy-PD-902,0,0,Semester,1,3,33,100,no
PDS,PD109,Physical Pharmacy-PD-903,0,0,Semester,1,3,33,100,no
PDS,PD110,Physical Pharmacy-PD-904,0,0,Semester,1,1,33,100,no
PDS,PD201,Physical Pharmacy-PD-901,0,0,Semester,1,3,33,100,yes
PDS,PD202,Physical Pharmacy-PD-902,0,0,Semester,1,3,33,100,yes
PDS,PD203,Physical Pharmacy-PD-903,0,0,Semester,1,3,33,100,yes
PDS,PD204,Physical Pharmacy-PD-904,0,0,Semester,1,1,33,100,yes
PDS,PD205,Physical Pharmacy-PD-905,0,0,Semester,1,3,33,100,yes
PDS,PD206,Physical Pharmacy-PD-906,0,0,Semester,1,3,33,100,no
PDS,PD207,Physical Pharmacy-PD-901,0,0,Semester,1,3,33,100,no
PDS,PD208,Physical Pharmacy-PD-902,0,0,Semester,1,3,33,100,no
PDS,PD209,Physical Pharmacy-PD-903,0,0,Semester,1,3,33,100,no
PDS,PD210,Physical Pharmacy-PD-904,0,0,Semester,1,1,33,100,no
