year,campus_code,program_code,student_code,course_code,enrollment_title,program_type,type_number
2019,DMC,MBBS,<000001>,MB101,Year 2019,Yearly,1
2019,DMC,MBBS,<000001>,MB102,Year 2019,Yearly,1
2019,DMC,MBBS,<000001>,MB103,Year 2019,Yearly,1
2019,DMC,MBBS,<000099>,MB104,Year 2019,Yearly,1
2019,DMC,MBBS,<000001>,MB105,Year 2019,Yearly,1
2019,DMC,MBBS,<000001>,MB201,Year 2019,Yearly,1
2019,DMC,MBBS,<000001>,MB202,Year 2019,Yearly,1
2019,DMC,MBBS,<000001>,MB203,Year 2019,Yearly,1
2019,DMC,MBBS,<000001>,MB204,Year 2019,Yearly,1
2019,DMC,MBBS,<000001>,MB205,Year 2019,Yearly,1
2019,DMC,MBBS,<000002>,MB101,Year 2019,Yearly,1
2019,DMC,MBBS,<000002>,MB102,Year 2019,Yearly,1
2019,DMC,MBBS,<000002>,MB103,Year 2019,Yearly,1
2019,DMC,MBBS,<000002>,MB104,Year 2019,Yearly,1
2019,DMC,MBBS,<000002>,MB105,Year 2019,Yearly,1
2019,DMC,MBBS,<000002>,MB201,Year 2019,Yearly,1
2019,DMC,MBBS,<000002>,MB202,Year 2019,Yearly,1
2019,DMC,MBBS,<000002>,MB203,Year 2019,Yearly,1
2019,DMC,MBBS,<000002>,MB204,Year 2019,Yearly,1
2019,DMC,MBBS,<000002>,MB205,Year 2019,Yearly,1
2019,DMC,MBBS,<000003>,MB101,Year 2019,Yearly,1
2019,DMC,MBBS,<000003>,MB102,Year 2019,Yearly,1
2019,DMC,MBBS,<000003>,MB103,Year 2019,Yearly,1
2019,DMC,MBBS,<000003>,MB104,Year 2019,Yearly,1
2019,DMC,MBBS,<000003>,MB105,Year 2019,Yearly,1
2019,DMC,MBBS,<000003>,MB201,Year 2019,Yearly,1
2019,DMC,MBBS,<000003>,MB202,Year 2019,Yearly,1
2019,DMC,MBBS,<000003>,MB203,Year 2019,Yearly,1
2019,DMC,MBBS,<000003>,MB204,Year 2019,Yearly,1
2019,DMC,MBBS,<000003>,MB205,Year 2019,Yearly,1
2019,DMC,MBBS,<000005>,MB101,Year 2019,Yearly,1
2019,DMC,MBBS,<000005>,MB102,Year 2019,Yearly,1
2019,DMC,MBBS,<000005>,MB103,Year 2019,Yearly,1
2019,DMC,MBBS,<000005>,MB104,Year 2019,Yearly,1
2019,DMC,MBBS,<000005>,MB105,Year 2019,Yearly,1
2019,DMC,MBBS,<000005>,MB201,Year 2019,Yearly,1
2019,DMC,MBBS,<000005>,MB202,Year 2019,Yearly,1
2019,DMC,MBBS,<000005>,MB203,Year 2019,Yearly,1
2019,DMC,MBBS,<000005>,MB204,Year 2019,Yearly,1
2019,DMC,MBBS,<000005>,MB205,Year 2019,Yearly,1
2019,DMC,MBBS,<000007>,MB101,Year 2019,Yearly,2
2019,DMC,MBBS,<000007>,MB102,Year 2019,Yearly,2
2019,DMC,MBBS,<000007>,MB103,Year 2019,Yearly,2
2019,DMC,MBBS,<000007>,MB104,Year 2019,Yearly,2
2019,DMC,MBBS,<000007>,MB105,Year 2019,Yearly,2
2019,DMC,MBBS,<000007>,MB201,Year 2019,Yearly,2
2019,DMC,MBBS,<000007>,MB202,Year 2019,Yearly,2
2019,DMC,MBBS,<000007>,MB203,Year 2019,Yearly,2
2019,DMC,MBBS,<000007>,MB204,Year 2019,Yearly,2
2019,DMC,MBBS,<000007>,MB205,Year 2019,Yearly,2
2019,DMC,MBBS,<000008>,MB101,Year 2019,Yearly,2
2019,DMC,MBBS,<000008>,MB102,Year 2019,Yearly,2
2019,DMC,MBBS,<000008>,MB103,Year 2019,Yearly,2
2019,DMC,MBBS,<000008>,MB104,Year 2019,Yearly,2
2019,DMC,MBBS,<000008>,MB105,Year 2019,Yearly,2
2019,DMC,MBBS,<000008>,MB201,Year 2019,Yearly,2
2019,DMC,MBBS,<000008>,MB202,Year 2019,Yearly,2
2019,DMC,MBBS,<000008>,MB203,Year 2019,Yearly,2
2019,DMC,MBBS,<000008>,MB204,Year 2019,Yearly,2
2019,DMC,MBBS,<000008>,MB205,Year 2019,Yearly,2
2019,DMC,MBBS,<000009>,MB101,Year 2019,Yearly,2
2019,DMC,MBBS,<000009>,MB102,Year 2019,Yearly,2
2019,DMC,MBBS,<000009>,MB103,Year 2019,Yearly,2
2019,DMC,MBBS,<000009>,MB104,Year 2019,Yearly,2
2019,DMC,MBBS,<000009>,MB105,Year 2019,Yearly,2
2019,DMC,MBBS,<000009>,MB201,Year 2019,Yearly,2
2019,DMC,MBBS,<000009>,MB202,Year 2019,Yearly,2
2019,DMC,MBBS,<000009>,MB203,Year 2019,Yearly,2
2019,DMC,MBBS,<000009>,MB204,Year 2019,Yearly,2
2019,DMC,MBBS,<000009>,MB205,Year 2019,Yearly,2
2019,DMC,MBBS,<000010>,MB101,Year 2019,Yearly,2
2019,DMC,MBBS,<000010>,MB102,Year 2019,Yearly,2
2019,DMC,MBBS,<000010>,MB103,Year 2019,Yearly,2
2019,DMC,MBBS,<000010>,MB104,Year 2019,Yearly,2
2019,DMC,MBBS,<000010>,MB105,Year 2019,Yearly,2
2019,DMC,MBBS,<000010>,MB201,Year 2019,Yearly,2
2019,DMC,MBBS,<000010>,MB202,Year 2019,Yearly,2
2019,DMC,MBBS,<000010>,MB203,Year 2019,Yearly,2
2019,DMC,MBBS,<000010>,MB204,Year 2019,Yearly,2
2019,DMC,MBBS,<000010>,MB205,Year 2019,Yearly,2
2019,DMC,BDS,<000011>,BD101,Spring 2019,Semester,1
2019,DMC,BDS,<000011>,BD102,Spring 2019,Semester,1
2019,DMC,BDS,<000011>,BD103,Spring 2019,Semester,1
2019,DMC,BDS,<000011>,BD104,Spring 2019,Semester,1
2019,DMC,BDS,<000011>,BD105,Spring 2019,Semester,1
2019,DMC,BDS,<000011>,BD201,Spring 2019,Semester,1
2019,DMC,BDS,<000011>,BD202,Spring 2019,Semester,1
2019,DMC,BDS,<000011>,BD203,Spring 2019,Semester,1
2019,DMC,BDS,<000011>,BD204,Spring 2019,Semester,1
2019,DMC,BDS,<000011>,BD205,Spring 2019,Semester,1
2019,DMC,BDS,<000012>,BD101,Spring 2019,Semester,1
2019,DMC,BDS,<000012>,BD102,Spring 2019,Semester,1
2019,DMC,BDS,<000012>,BD103,Spring 2019,Semester,1
2019,DMC,BDS,<000012>,BD104,Spring 2019,Semester,1
2019,DMC,BDS,<000012>,BD105,Spring 2019,Semester,1
2019,DMC,BDS,<000012>,BD201,Spring 2019,Semester,1
2019,DMC,BDS,<000012>,BD202,Spring 2019,Semester,1
2019,DMC,BDS,<000012>,BD203,Spring 2019,Semester,1
2019,DMC,BDS,<000012>,BD204,Spring 2019,Semester,1
2019,DMC,BDS,<000012>,BD205,Spring 2019,Semester,1
2019,DMC,BDS,<000013>,BD101,Spring 2019,Semester,1
2019,DMC,BDS,<000013>,BD102,Spring 2019,Semester,1
2019,DMC,BDS,<000013>,BD103,Spring 2019,Semester,1
2019,DMC,BDS,<000013>,BD104,Spring 2019,Semester,1
2019,DMC,BDS,<000013>,BD105,Spring 2019,Semester,1
2019,DMC,BDS,<000013>,BD201,Spring 2019,Semester,1
2019,DMC,BDS,<000013>,BD202,Spring 2019,Semester,1
2019,DMC,BDS,<000013>,BD203,Spring 2019,Semester,1
2019,DMC,BDS,<000013>,BD204,Spring 2019,Semester,1
2019,DMC,BDS,<000013>,BD205,Spring 2019,Semester,1
2019,DMC,BDS,<000014>,BD101,Fall 2019,Semester,2
2019,DMC,BDS,<000014>,BD102,Fall 2019,Semester,2
2019,DMC,BDS,<000014>,BD103,Fall 2019,Semester,2
2019,DMC,BDS,<000014>,BD104,Fall 2019,Semester,2
2019,DMC,BDS,<000014>,BD105,Fall 2019,Semester,2
2019,DMC,BDS,<000014>,BD201,Fall 2019,Semester,2
2019,DMC,BDS,<000014>,BD202,Fall 2019,Semester,2
2019,DMC,BDS,<000014>,BD203,Fall 2019,Semester,2
2019,DMC,BDS,<000014>,BD204,Fall 2019,Semester,2
2019,DMC,BDS,<000014>,BD205,Fall 2019,Semester,2
2019,DMC,BDS,<000015>,BD101,Fall 2019,Semester,2
