date,st_time,en_time,campus,room,program,shift,group,course,study_title,lecturer_code,
11/11/2019,08:30 AM,10:00 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD101,Study Title 04-11,<000101>,
11/11/2019,10:00 AM,10:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD102,Study Title 04-11,<000103>,
11/11/2019,10:30 AM,11:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BREAK,0,0,
11/11/2019,11:30 AM,01:00 PM,DDC,DDC-B02-R0202,BDS,Morning,A,BD103,Study Title 04-11,<000105>,
11/11/2019,11:30 AM,01:00 PM,DDC,DDC-B02-R0202,BDS,Morning,B,BD203,Study Title 04-11,<000103>,
11/11/2019,01:00 PM,03:00 PM,DDC,DDC-B02-R0202,BDS,Morning,A,BD104,Study Title 04-11,<000107>,
11/11/2019,01:00 PM,03:00 PM,DDC,DDC-B02-R0202,BDS,Morning,B,BD105,Study Title 04-11,<000115>,
12/11/2019,08:30 AM,10:00 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD204,Study Title 05-11,<000112>,
12/11/2019,10:00 AM,10:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD202,Study Title 05-11,<000113>,
12/11/2019,10:30 AM,11:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BREAK,0,0,
12/11/2019,11:30 AM,01:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,BD201,Study Title 05-11,<000100>,
12/11/2019,01:00 PM,02:00 PM,DDC,DDC-B02-R0202,BDS,Morning,A,BD203,Study Title 05-11,<000107>,
12/11/2019,01:00 PM,02:00 PM,DDC,DDC-B02-R0202,BDS,Morning,B,SEMINAR,Study Title 05-11,<000112>,
13/11/2019,08:30 AM,10:00 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD204,Study Title 06-11,<000118>,
13/11/2019,10:00 AM,10:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD205,English,<000099>,
13/11/2019,10:30 AM,11:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BREAK,0,0,
13/11/2019,11:30 AM,01:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,BD202,English,<000089>,
13/11/2019,01:00 PM,03:00 PM,DDC,DDC-B02-R0202,BDS,Morning,A,BD201,Study Title 06-11,<000103>,
13/11/2019,01:00 PM,03:00 PM,DDC,DDC-B02-R0202,BDS,Morning,B,OFF,0,0,
14/11/2019,08:30 AM,10:00 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD104,Study Title 07-11,<000112>,
14/11/2019,10:00 AM,10:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD201,Study Tile 07-11,<000103>,
14/11/2019,10:30 AM,11:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BREAK,0,0,
14/11/2019,11:30 AM,01:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,BD101,Study PD,<000093>,
14/11/2019,01:00 PM,02:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,BD102,Study Title 07-11,<000103>,
14/11/2019,02:00 PM,03:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,BD103,Study Title 07-11,<000113>,
15/11/2019,08:30 AM,10:00 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD205,Study Title 08-11,<000105>,
15/11/2019,10:00 AM,10:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD202,Study Title,<000115>,
15/11/2019,10:30 AM,11:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BREAK,0,0,
15/11/2019,11:30 AM,01:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,BD103,Study Title,<000111>,
15/11/2019,01:00 PM,02:00 PM,DDC,DDC-B02-R0202,BDS,Morning,A,BD104,Study Title 08-11,<000107>,
15/11/2019,01:00 PM,02:00 PM,DDC,DDC-B02-R0202,BDS,Morning,B,BD205,Study Title 08-11,<000105>,
16/11/2019,08:30 AM,10:00 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD105,Study Title 09-11,<000115>,
16/11/2019,10:00 AM,10:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BD104,Study Tile 09-11,<000100>,
16/11/2019,10:30 AM,11:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,BREAK,0,0,
16/11/2019,11:30 AM,01:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,BD205,Study PD,<000094>,
16/11/2019,01:00 PM,02:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,BD204,Study Title 09-11,<000118>,
16/11/2019,02:00 PM,03:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,BD203,Study Title 09-11,<000111>,
17/11/2019,08:30 AM,10:00 AM,DDC,DDC-B02-R0202,BDS,Morning,0,OFF,0,0,
17/11/2019,10:00 AM,10:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,OFF,0,0,
17/11/2019,10:30 AM,11:30 AM,DDC,DDC-B02-R0202,BDS,Morning,0,OFF,0,0,
17/11/2019,11:30 AM,01:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,OFF,0,0,
17/11/2019,01:00 PM,02:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,OFF,0,0,
17/11/2019,02:00 PM,03:00 PM,DDC,DDC-B02-R0202,BDS,Morning,0,OFF,0,0,

