date,st_time,en_time,campus,room,program,shift,group,course,study_title,lecturer_code,
2019-11-04,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD101,Study Title 04-11,<000081>,
2019-11-04,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD102,Study Title 04-11,<000082>,
2019-11-04,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0,
2019-11-04,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD103,Study Title 04-11,<000091>,
2019-11-04,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,A,BD104,Study Title 04-11,<000085>,
2019-11-04,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,B,BD105,Study Title 04-11,<000086>,
2019-11-05,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD204,Study Title 05-11,<000098>,
2019-11-05,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD202,Study Title 05-11,<000088>,
2019-11-05,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0,
2019-11-05,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD201,Study Title 05-11,<000082>,
2019-11-05,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,A,BD203,Study Title 05-11,<000094>,
2019-11-05,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,B,SEMINAR,Study Title 05-11,<000098>,
2019-11-06,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD204,Study Title 06-11,<000082>,
2019-11-06,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD205,English,<000099>,
2019-11-06,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0,
2019-11-06,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD202,English,<000089>,
2019-11-06,12:30 PM,01:00 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD201,Study Title 06-11,<000083>,
2019-11-06,01:00 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,OFF,0,0,
2019-11-07,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD104,Study Title 07-11,<000089>,
2019-11-07,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD201,Study Tile 07-11,<000099>,
2019-11-07,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0,
2019-11-07,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD101,Study PD,<000093>,
2019-11-07,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,A,BD102,Study Title 07-11,<000086>,
2019-11-07,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,B,BD103,Study Title 07-11,<000096>,
2019-11-08,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD205,Study Title 08-11,<000089>,
2019-11-08,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD202,Study Title,<000099>,
2019-11-08,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0,
2019-11-08,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD103,Study Title,<000081>,
2019-11-08,12:30 PM,01:00 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD104,Study Title 08-11,<000086>,
2019-11-08,01:00 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,OFF,0,0,
2019-11-09,08:30 AM,09:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD105,Study Title 09-11,<000096>,
2019-11-09,09:30 AM,11:00 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD104,Study Tile 09-11,<000088>,
2019-11-09,11:00 AM,11:30 AM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BREAK,0,0,
2019-11-09,11:30 AM,12:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,0,BD205,Study PD,<000094>,
2019-11-09,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,A,BD204,Study Title 09-11,<000093>,
2019-11-09,12:30 PM,02:30 PM,DIDC,DIDC-B01-R0202,BDS,Morning,B,BD203,Study Title 09-11,<000083>,
