date,st_time,en_time,campus,room,program,shift,group,course,study_title,lecturer_code,
2019-11-04,08:30 AM,10:00 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB101,Study Title 04-11,<000101>,
2019-11-04,10:00 AM,10:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB102,Study Title 04-11,<000103>,
2019-11-04,10:30 AM,11:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
2019-11-04,11:30 AM,01:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,A,MB103,Study Title 04-11,<000105>,
2019-11-04,11:30 AM,01:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,B,MB203,Study Title 04-11,<000103>,
2019-11-04,01:00 PM,03:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,A,MB104,Study Title 04-11,<000107>,
2019-11-04,01:00 PM,03:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,B,MB105,Study Title 04-11,<000115>,
2019-11-05,08:30 AM,10:00 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB204,Study Title 05-11,<000112>,
2019-11-05,10:00 AM,10:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB202,Study Title 05-11,<000113>,
2019-11-05,10:30 AM,11:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
2019-11-05,11:30 AM,01:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB201,Study Title 05-11,<000100>,
2019-11-05,01:00 PM,02:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,A,MB203,Study Title 05-11,<000107>,
2019-11-05,01:00 PM,02:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,B,SEMINAR,Study Title 05-11,<000112>,
2019-11-06,08:30 AM,10:00 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB204,Study Title 06-11,<000118>,
2019-11-06,10:00 AM,10:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB205,English,<000099>,
2019-11-06,10:30 AM,11:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
2019-11-06,11:30 AM,01:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB202,English,<000089>,
2019-11-06,01:00 PM,03:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,A,MB201,Study Title 06-11,<000103>,
2019-11-06,01:00 PM,03:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,B,OFF,0,0,
2019-11-07,08:30 AM,10:00 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB104,Study Title 07-11,<000112>,
2019-11-07,10:00 AM,10:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB201,Study Tile 07-11,<000103>,
2019-11-07,10:30 AM,11:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
2019-11-07,11:30 AM,01:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB101,Study PD,<000093>,
2019-11-07,01:00 PM,02:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB102,Study Title 07-11,<000103>,
2019-11-07,02:00 PM,03:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB103,Study Title 07-11,<000113>,
2019-11-08,08:30 AM,10:00 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB205,Study Title 08-11,<000105>,
2019-11-08,10:00 AM,10:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB202,Study Title,<000115>,
2019-11-08,10:30 AM,11:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
2019-11-08,11:30 AM,01:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB103,Study Title,<000111>,
2019-11-08,01:00 PM,02:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,A,MB104,Study Title 08-11,<000107>,
2019-11-08,01:00 PM,02:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,B,MB205,Study Title 08-11,<000105>,
2019-11-09,08:30 AM,10:00 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB105,Study Title 09-11,<000115>,
2019-11-09,10:00 AM,10:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB104,Study Tile 09-11,<000100>,
2019-11-09,10:30 AM,11:30 AM,DDC,DDC-B01-R0101,MBBS,Morning,0,BREAK,0,0,
2019-11-09,11:30 AM,01:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB205,Study PD,<000094>,
2019-11-09,01:00 PM,02:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB204,Study Title 09-11,<000118>,
2019-11-09,02:00 PM,03:00 PM,DDC,DDC-B01-R0101,MBBS,Morning,0,MB203,Study Title 09-11,<000111>,
